epoch,i,reward,x_movement,success,iterations,time
1,53,147.0,168,0,28,5
2,122,-33.0,0,0,95,18
3,145,-33.0,0,0,95,18
4,268,147.0,168,0,28,5
5,485,-33.0,0,0,95,18
6,652,147.0,168,0,28,5
7,722,162.0,184,0,23,4
8,769,170.0,191,0,20,3
9,822,-33.0,0,0,95,18
10,879,-33.0,0,0,95,18
11,932,-33.0,0,0,95,18
12,977,-33.0,0,0,95,18
13,1119,147.0,168,0,28,5
14,1142,162.0,184,0,23,4
15,1601,170.0,191,0,20,3
16,1785,147.0,168,0,28,5
17,2160,170.0,191,0,20,3
18,2203,147.0,168,0,28,5
19,2236,-33.0,0,0,95,18
20,3654,-33.0,0,0,95,18
21,3682,-33.0,0,0,95,18
22,3707,-33.0,0,0,95,18
23,3739,-33.0,0,0,95,18
24,3780,-33.0,0,0,95,18
25,3830,-33.0,0,0,95,18
26,3865,-33.0,0,0,95,18
27,3906,-33.0,0,0,95,18
28,3986,-33.0,0,0,95,18
29,4025,-33.0,0,0,95,18
30,4072,-33.0,0,0,95,18
31,4689,-33.0,0,0,95,18
32,4725,-33.0,0,0,95,18
33,4872,-33.0,0,0,95,18
34,5111,-33.0,0,0,95,18
35,5185,-33.0,0,0,95,18
36,5248,-33.0,0,0,95,18
37,5270,-33.0,0,0,95,18
38,5343,-33.0,0,0,95,18
39,5367,-33.0,0,0,95,18
40,5392,-33.0,0,0,95,18
41,5928,19.0,49,0,75,15
42,5969,-33.0,0,0,95,18
43,6022,-33.0,0,0,95,18
44,6258,-33.0,0,0,95,18
45,6370,43.0,71,0,66,13
46,6410,-33.0,0,0,95,18
47,6479,51.0,78,0,63,12
48,6507,51.0,78,0,63,12
49,6578,16.0,46,0,76,15
50,6690,150.0,173,0,26,5
51,7321,51.0,78,0,63,12
52,7372,51.0,78,0,63,12
53,7456,43.0,71,0,66,13
54,7509,145.0,168,0,27,5
55,7567,149.0,172,0,27,5
56,7607,150.0,173,0,27,5
57,7644,51.0,78,0,63,12
58,7771,147.0,168,0,28,5
59,8017,66.0,92,0,58,11
60,8062,149.0,172,0,27,5
61,8110,148.0,171,0,26,5
62,8160,81.0,106,0,52,10
63,8195,81.0,106,0,52,10
64,8270,152.0,175,0,26,5
65,8347,99.0,124,0,45,9
66,8424,89.0,113,0,49,9
67,8590,151.0,174,0,26,5
68,8735,149.0,172,0,27,5
69,8777,147.0,168,0,28,5
70,8932,152.0,175,0,27,5
71,8972,145.0,167,0,28,5
72,9033,58.0,85,0,61,12
73,9091,152.0,175,0,27,5
74,9168,89.0,113,0,49,9
75,9194,148.0,171,0,27,5
76,9228,162.0,184,0,23,4
77,9280,148.0,171,0,27,5
78,9472,150.0,173,0,27,5
79,9639,120.0,142,0,38,7
80,9682,132.0,153,0,33,6
81,9733,146.0,169,0,27,5
82,9805,147.0,168,0,28,5
83,9876,146.0,169,0,27,5
84,9914,110.0,135,0,41,8
85,10063,148.0,171,0,26,5
86,10850,259.0,285,0,44,8
87,10874,275.0,300,0,37,7
88,10900,157.0,179,0,23,4
89,10950,272.0,296,0,37,7
90,11024,272.0,297,0,35,7
91,11087,154.0,176,0,25,4
92,11996,264.0,291,0,45,9
93,12040,271.0,296,0,37,7
94,12101,272.0,296,0,34,6
95,12254,274.0,299,0,36,7
96,12328,276.0,301,0,37,7
97,12381,274.0,298,0,34,6
98,12469,147.0,168,0,28,5
99,12943,160.0,182,0,24,4
100,12978,275.0,299,0,33,6
101,13158,271.0,296,0,36,7
102,13234,489.0,518,0,63,12
103,13270,162.0,184,0,23,4
104,13353,153.0,175,0,25,5
105,13402,272.0,297,0,39,7
106,14047,275.0,299,0,35,7
107,14107,160.0,181,0,24,4
108,14207,471.0,506,0,104,20
109,14263,150.0,172,0,26,5
110,15201,274.0,298,0,39,7
111,15230,274.0,296,0,33,6
112,15427,273.0,297,0,32,6
113,15498,298.0,322,0,35,6
114,15534,469.0,506,0,111,22
115,15593,298.0,322,0,35,6
116,15654,298.0,322,0,35,6
117,15710,156.0,178,0,23,4
118,15744,168.0,188,0,21,4
119,15833,161.0,183,0,23,4
120,15895,161.0,183,0,23,4
121,16220,161.0,183,0,23,4
122,16375,503.0,532,0,55,11
123,16516,239.0,277,0,108,21
124,16562,161.0,182,0,23,4
125,16589,191.0,506,0,1505,300
126,16675,161.0,183,0,23,4
127,16732,161.0,183,0,23,4
128,16777,137.0,161,0,33,6
129,16808,462.0,506,0,148,29
130,16859,147.0,168,0,28,5
131,16922,147.0,168,0,28,5
132,17142,154.0,176,0,24,4
133,17214,170.0,191,0,20,3
134,17250,155.0,177,0,24,4
135,17314,469.0,506,0,111,22
136,17362,298.0,322,0,35,6
137,17402,274.0,297,0,38,7
138,17564,424.0,449,0,50,9
139,17606,155.0,177,0,25,4
140,17705,295.0,320,0,36,7
141,17759,160.0,181,0,24,4
142,17823,492.0,521,0,55,11
143,17912,154.0,176,0,24,4
144,17978,156.0,178,0,23,4
145,18019,160.0,182,0,24,4
146,18115,161.0,183,0,23,4
147,18166,298.0,322,0,35,6
148,18218,158.0,180,0,23,4
149,18256,162.0,184,0,23,4
150,18297,155.0,177,0,25,4
151,18454,-33.0,0,0,95,18
152,18630,271.0,296,0,37,7
153,18655,259.0,286,0,46,9
154,18727,154.0,176,0,25,4
155,18748,418.0,445,0,51,10
156,18817,155.0,177,0,25,4
157,18838,295.0,320,0,36,7
158,18857,272.0,296,0,37,7
159,18941,155.0,177,0,25,4
160,18996,147.0,168,0,28,5
161,19041,156.0,178,0,25,4
162,19081,158.0,180,0,24,4
163,19625,-33.0,0,0,95,18
164,19666,161.0,183,0,23,4
165,19717,247.0,284,0,108,21
166,19769,-33.0,0,0,95,18
167,19815,-33.0,0,0,95,18
168,19899,154.0,176,0,25,5
169,19939,469.0,506,0,111,22
170,19995,162.0,184,0,23,4
171,20093,160.0,182,0,22,4
172,20824,261.0,285,0,40,7
173,20865,156.0,177,0,24,4
174,20912,493.0,520,0,55,11
175,21396,503.0,531,0,53,10
176,21425,470.0,506,0,106,21
177,21481,170.0,191,0,20,3
178,21518,170.0,191,0,20,3
179,21636,509.0,538,0,58,11
180,21682,161.0,183,0,23,4
181,21740,158.0,179,0,24,4
182,21769,296.0,320,0,34,6
183,21830,158.0,178,0,24,4
184,21988,170.0,191,0,20,3
185,22115,157.0,178,0,25,4
186,22370,261.0,285,0,39,7
187,22432,505.0,533,0,50,10
188,22470,170.0,191,0,20,3
189,22496,161.0,183,0,23,4
190,22603,275.0,299,0,34,6
191,22682,469.0,506,0,111,22
192,22710,162.0,184,0,23,4
193,23422,420.0,447,0,51,10
194,23464,298.0,322,0,35,6
195,23493,165.0,187,0,22,4
196,23657,162.0,184,0,23,4
197,23716,298.0,322,0,35,6
198,23772,501.0,530,0,55,11
199,23801,501.0,530,0,55,11
200,23854,156.0,178,0,23,4
